DewerID,RowID,1,2,3,4,5,6,7,8,9,10,Protein_FP,Date,Passage,NumCells,Notes,Protein_FP2,Date2,Passage2,NumCells2
"Assay Development Dewer 577 - Tower 1, Box B",I,AICS014 CR1,AICS014 CR1,AICS014 CR1,AICS014 CR1,AICS014 CR1,AICS014 CR1,AICS014 CR1,AICS014 CR1,removed,AICS027 CR3,Fibrillarin mEGFP,5/31/16,P15,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box B",J,,AICS014 CR2,AICS014 CR2,AICS014 CR2,AICS014 CR2,AICS014 CR2,AICS014 CR2,AICS014 CR2,AICS014 CR2,AICS014 CR2,Fibrillarin mEGFP,6/13/16,P17,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box C",A,AICS010 CR1,AICS010 CR1,AICS010 CR1,AICS010 CR1,AICS010 CR1,AICS010 CR1,AICS010 CR1,AICS010 CR1,AICS010 CR1,AICS020 CL 79,Sec61beta mEGFP,6/20/16,P22,1x10^6,,Vimentin mEGFP,11/4/16,28,1x10^6
"Assay Development Dewer 577 - Tower 1, Box C",B,AICS012 CL100,AICS012 CL100,AICS012 CL100,AICS012 CL100,AICS012 CL100,AICS012 CL100,AICS012 CL100,AICS012 CL100,,AICS020 CL 79,alpha tubulin mEGFP,6/28/16,P29,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box C",C,removed 20160802,removed 20161107,removed ,removed 1/3 CCH,removed 5/2/2017 MH,removed 7/14/2017 CCH,AICS012 CL105,AICS012 CL105,AICS012 CL105,AICS020 CL 79,alpha tubulin mEGFP,6/28/16,P29,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box C",D,AICS012 CL 102,AICS012 CL 102,AICS012 CL 102,AICS012 CL 102,AICS012 CL 102,AICS012 CL 102,AICS012 CL 102,AICS012 CL 102,AICS012 CL 102,AICS020 CL 79,alpha tubulin mEGFP,6/28/16,P30,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box C",E,AICS012 CL101,AICS012 CL101,AICS012 CL101,AICS012 CL101,AICS012 CL101,AICS012 CL101,AICS012 CL101,AICS012 CL101,,AICS020 CL 79,alpha tubulin mEGFP,6/28/16,P31,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box C",F,AICS012 CL103,AICS012 CL103,AICS012 CL103,AICS012 CL103,AICS012 CL103,AICS012 CL103,AICS012 CL103,AICS012 CL103,AICS012 CL103,AICS020 CL 79,alpha tubulin mEGFP,7/1/16,P31,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box C",G,AICS007  CL90,AICS007  CL90,AICS007  CL90,AICS007  CL90,AICS007  CL90,AICS007  CL90,AICS007  CL90,AICS007  CL90,AICS007  CL90,AICS020 CL 79,alpha actinin 1 mEGFP,7/12/16,P26,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box C",H,AICS011 CL27,AICS011 CL27,AICS011 CL27,removed 5/2/2017 MH,removed 5/2/2017 MH,removed 3/20 CCH,,,,AICS020 CL 79,TOMM20 mEGFP,7/16/16,P30,0.66x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box C",I,AICS011 CL10,AICS011 CL10,AICS011 CL10,AICS011 CL10,AICS011 CL10,AICS011 CL10,AICS011 CL10,AICS011 CL10,AICS011 CL10,AICS020 CL 79,TOMM20 mEGFP,7/16/16,P30,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box C",J,,AICS011 CL8,AICS011 CL8,AICS011 CL8,AICS011 CL8,AICS011 CL8,AICS011 CL8,AICS011 CL8,AICS011 CL8,AICS011 CL8,TOMM20 mEGFP,7/16/16,29,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box D",A,removed 09/25/17 SN,removed 20171106 sn,AICS007  CL79,AICS007  CL79,AICS007  CL79,AICS007  CL79,AICS007  CL79,AICS017 CL65,AICS017 CL65,AICS020 CL 88,alpha actinin 1 mEGFP,7/15/16,P25,1x10^6,,Vimentin mEGFP,11/4/16,28,1x10^6
"Assay Development Dewer 577 - Tower 1, Box D",B,AICS017 CL65,AICS017 CL65,AICS017 CL65,AICS017 CL65,AICS017 CL65,AICS017 CL65,AICS017 CL65,AICS017 CL65,AICS017 CL65,AICS020 CL 88,Desmoplakin mEGFP,4/10/17,P32,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box D",C,AICS017 CL19,AICS017 CL19,AICS017 CL19,AICS017 CL19,AICS017 CL19,AICS017 CL19,AICS017 CL19,AICS017 CL19,removed,AICS020 CL 88,Desmoplakin mEGFP,7/15/16,P28,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box D",D,AICS011 CL54,AICS011 CL54,AICS011 CL54,AICS011 CL54,AICS011 CL54,AICS011 CL54,AICS011 CL54,AICS011 CL54,removed,AICS020 CL 88,TOMM20 mEGFP,7/19/16,P30,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box D",E,AICS017 CL135,AICS017 CL135,AICS017 CL135,AICS017 CL135,AICS017 CL135,AICS017 CL135,AICS017 CL135,AICS017 CL135,AICS017 CL135,AICS020 CL 88,Desmoplakin mEGFP,8/1/16,P32,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box D",F,removed,AICS017 CL008,AICS017 CL008,AICS017 CL008,AICS017 CL008,AICS017 CL008,AICS017 CL008,AICS017 CL008,removed,AICS020 CL 88,Desmoplakin mEGFP,8/1/16,P31,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box D",G,AICS013 CL224,AICS013 CL224,AICS013 CL224,AICS013 CL224,AICS013 CL224,AICS013 CL224,AICS013 CL224,AICS013 CL224,removed,AICS020 CL 88,LaminB1 mEGFP,8/1/16,P29,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box D",H,AICS013 CL245,AICS013 CL245,AICS013 CL245,AICS013 CL245,AICS013 CL245,AICS013 CL245,AICS013 CL245,AICS013 CL245,AICS013 CL245,AICS020 CL 88,LaminB1 mEGFP,8/1/16,P28,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box D",I,AICS010 CL021,AICS010 CL021,AICS010 CL021,AICS010 CL021,AICS010 CL021,AICS010 CL021,AICS010 CL021,AICS010 CL021,,AICS020 CL 88,Sec61Beta,8/11/16,P24,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box D",J,,removed 20161107,removed 12/2 CCH,removed 12/13 CCH,removed 1/3 CCH,removed 1/10 CCH,removed 3/17 RY,AICS010 CL055,AICS010 CL055,AICS010 CL055,Sec61Beta,8/11/16,P24,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box E",A,removed 1/3 CCH,removed,Removed cch 11/6/17,removed 1/2/2018 cch,AICS000,AICS000,AICS000,AICS000,AICS000,AICS000,,7/15/16,P10,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box E",B,AICS000,AICS000,AICS000,AICS000,AICS000,AICS000,AICS000,AICS000,AICS000,AICS000,,7/15/16,P10,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box E",C,AICS000,AICS000,AICS000,AICS000,AICS000,AICS000,AICS000,AICS000,AICS000,AICS000,,7/15/16,P10,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box E",D,AICS000,AICS000,AICS000,AICS000,AICS000,AICS000,AICS000,AICS000,AICS000,AICS000,,7/15/16,P10,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box E",E,AICS000,AICS000,removed IAM 7/21,removed 9/26,removed,,,,,,,7/15/16,P10,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box E",F,AICS013 CL210,AICS013 CL210,AICS013 CL210,AICS013 CL210,AICS013 CL210,removed 6/30 SL,removed 5/30 CCH,removed,removed,,LaminB1 mEGFP,8/18/16,P28,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box E",G,AICS014 CL6,AICS014 CL6,AICS014 CL6,AICS014 CL6,AICS014 CL6,removed 5/30 CCH,removed 1/3 CCH,removed 12/13 CCH,removed 12/2 CCH,,Fibrillarin mEGFP,8/19/16,P27,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box E",H,AICS010 CL19,AICS010 CL19,AICS010 CL19,AICS010 CL19,AICS010 CL19,AICS010 CL19,AICS010 CL19,AICS010 CL19,AICS010 CL19,,sec61 beta mEGFP,8/22/16,P27,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box E",I,removed,AICS010 CL72,AICS010 CL72,AICS010 CL72,AICS010 CL72,AICS010 CL72,AICS010 CL72,AICS010 CL72,AICS010 CL72,,sec61beta mEGFP,8/22/16,P32,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box E",J,,AICS013 CL261,AICS013 CL261,AICS013 CL261,AICS013 CL261,AICS013 CL261,AICS013 CL261,AICS013 CL261,AICS013 CL261,AICS013 CL261,LaminB1 mEGFP,8/22/16,P32,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box F",A,removed 20161107,removed 12/2 CCH,removed 12/13 CCH,removed 1/3 CCH,removed 2/24/17SL,AICS016 CL184,AICS016 CL184,,,AICS020 CL 86,beta Actin mEGFP,8/22/16,P32,1x10^6,,Vimentin mEGFP,11/4/16,28,1x10^6
"Assay Development Dewer 577 - Tower 1, Box F",B,AICS029  cr1,AICS029  cr1,AICS029  cr1,AICS029  cr1,AICS029  cr1,AICS029  cr1,AICS029  cr1,AICS029  cr1,AICS029  cr1,AICS020 CL 86,Lamin B1 td Tomato,8/23/16,P21,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box F",C,AICS024   cr1,AICS024   cr1,AICS024   cr1,AICS024   cr1,AICS024   cr1,AICS024   cr1,AICS024   cr1,AICS024   cr1,AICS024   cr1,AICS020 CL 86,Myosin heavy chain 2B mEGFP,8/23/16,P21,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box F",D,AICS016 CL133,AICS016 CL133,AICS016 CL133,AICS016 CL133,AICS016 CL133,AICS016 CL133,AICS016 CL133,AICS016 CL133,AICS016 CL133,AICS020 CL 86,beta Actin mEGFP,8/29/16,P33,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box F",E,AICS016 CL100,AICS016 CL100,AICS016 CL100,AICS016 CL100,AICS016 CL100,AICS016 CL100,AICS016 CL100,AICS016 CL100,AICS016 CL100,AICS020 CL 86,beta Actin mEGFP,8/29/16,P33,630K,,,,,
"Assay Development Dewer 577 - Tower 1, Box F",F,AICS016 CL148,AICS016 CL148,AICS016 CL148,AICS016 CL148,AICS016 CL148,AICS016 CL148,AICS016 CL148,AICS016 CL148,AICS016 CL148,AICS020 CL 86,beta Actin mEGFP,8/29/16,P33,470K,,,,,
"Assay Development Dewer 577 - Tower 1, Box F",G,AICS016 CL176,AICS016 CL176,AICS016 CL176,AICS016 CL176,AICS016 CL176,AICS016 CL176,AICS016 CL176,AICS016 CL176,AICS016 CL176,AICS020 CL 86,beta Actin mEGFP,8/29/16,P33,580K,,,,,
"Assay Development Dewer 577 - Tower 1, Box F",H,AICS016 CL192,AICS016 CL192,AICS016 CL192,AICS016 CL192,AICS016 CL192,AICS016 CL192,AICS016 CL192,AICS016 CL192,AICS016 CL192,AICS020 CL 86,beta Actin mEGFP,8/29/16,P33,820K,,,,,
"Assay Development Dewer 577 - Tower 1, Box F",I,AICS016 CL185,AICS016 CL185,AICS016 CL185,AICS016 CL185,AICS016 CL185,AICS016 CL185,AICS016 CL185,AICS016 CL185,AICS016 CL185,AICS020 CL 86,beta Actin mEGFP,8/31/16,P34,800K,,,,,
"Assay Development Dewer 577 - Tower 1, Box F",J,,AICS020 cr2 200bp HA,AICS020 cr2 200bp HA,AICS020 cr2 200bp HA,AICS020 cr2 200bp HA,AICS020 cr2 200bp HA,AICS020 cr2 200bp HA,AICS020 cr2 200bp HA,AICS020 cr2 200bp HA,AICS020 cr2 200bp HA,Vimentin mEGFP,9/2/16,P21,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box G",A,AICS029  cr2,Removed 4/11/2017,AICS029  cr2,Removed,AICS029  cr2,Removed,AICS029  cr2,AICS029  cr2,AICS029  cr2,AICS020 CL 73,Lamin B1 td Tomato,8/30/16,P 23,1x10^6,2x enriched,Vimentin mEGFP,11/4/16,28,1x10^6
"Assay Development Dewer 577 - Tower 1, Box G",B,AICS024   cr4,AICS024   cr4,AICS024   cr4,AICS024   cr4,AICS024   cr4,AICS024   cr4,AICS024   cr4,AICS024   cr4,AICS024   cr1,AICS020 CL 73,Myosin heavy chain 2B mEGFP,8/30/16,P20,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box G",C,AICS020 cr2 1000bp HA,AICS020 cr2 1000bp HA,AICS020 cr2 1000bp HA,AICS020 cr2 1000bp HA,AICS020 cr2 1000bp HA,AICS020 cr2 1000bp HA,AICS020 cr2 1000bp HA,AICS020 cr2 1000bp HA,AICS020 cr2 1000bp HA,AICS020 CL 73,Vimentin mEGFP,9/6/16,P19,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box G",D,AICS014 CL9,AICS014 CL9,AICS014 CL9,AICS014 CL9,AICS014 CL9,AICS014 CL9,AICS014 CL9,AICS014 CL9,AICS014 CL9,AICS020 CL 73,Fibrillarin mEGFP,9/6/16,P30,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box G",E,AICS014 CL53,AICS014 CL53,AICS014 CL53,AICS014 CL53,AICS014 CL53,AICS014 CL53,AICS014 CL53,AICS014 CL53,removed,AICS020 CL 73,Fibrillarin mEGFP,9/6/16,P32,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box G",F,AICS014 CL8,AICS014 CL8,AICS014 CL8,AICS014 CL8,AICS014 CL8,AICS014 CL8,AICS014 CL8,AICS014 CL8,AICS014 CL8,AICS020 CL 73,Fibrillarin mEGFP,9/16/16,P35,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box G",G,AICS020 cr2 ,AICS020 cr2 ,AICS020 cr2 ,AICS020 cr2 ,AICS020 cr2 ,AICS020 cr2 ,AICS020 cr2 ,AICS020 cr2 ,AICS020 cr2 ,AICS020 CL 73,Vimentin mEGFP,9/26/16,P15,1x10^6,"200bp HA, 2x 2x enriched",,,,
"Assay Development Dewer 577 - Tower 1, Box G",H,AICS020 cr2 ,AICS020 cr2 ,AICS020 cr2 ,AICS020 cr2 ,AICS020 cr2 ,AICS020 cr2 ,AICS020 cr2 ,AICS020 cr2 ,AICS020 cr2 ,AICS020 CL 73,Vimentin mEGFP,9/26/16,P15,1x10^6,"1000bp HA, 2x 2x enriched",,,,
"Assay Development Dewer 577 - Tower 1, Box G",I,AICS020 cr3 ,AICS020 cr3 ,AICS020 cr3 ,AICS020 cr3 ,AICS020 cr3 ,AICS020 cr3 ,AICS020 cr3 ,AICS020 cr3 ,AICS020 cr3 ,AICS020 CL 73,Vimentin mEGFP,9/26/16,P15,1x10^6,"200bp HA, 2x 2x enriched",,,,
"Assay Development Dewer 577 - Tower 1, Box G",J,,AICS020 cr3 ,AICS020 cr3 ,AICS020 cr3 ,AICS020 cr3 ,AICS020 cr3 ,AICS020 cr3 ,AICS020 cr3 ,AICS020 cr3 ,AICS020 cr3 ,Vimentin mEGFP,9/26/16,P15,1x10^6,"1000bp HA, 2x 2x enriched",,,,
"Assay Development Dewer 577 - Tower 1, Box H",A,removed 11.10.2017 cch,removed 1/2/2018 cch,AICS035,AICS035,AICS035,AICS035,AICS035,AICS035,AICS035,AICS013 CL 261,Lamin B1 tdTomato + TUBAIB mEGFP,9/27/16,31,1x10^6,,Lamin B1 mEGFP,11/4/16,53,1x10^6
"Assay Development Dewer 577 - Tower 1, Box H",B,AICS024 cl93,AICS024 cl93,AICS024 cl93,AICS024 cl93,AICS024 cl93,AICS024 cl93,AICS024 cl93,AICS024 cl93,AICS024 cl93,AICS013 CL 261,Myosin heavy chain 2B mEGFP,10/17/16,29,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box H",C,AICS024 cl88,AICS024 cl88,AICS024 cl88,AICS024 cl88,AICS024 cl88,AICS024 cl88,AICS024 cl88,AICS024 cl88,AICS024 cl88,AICS013 CL 261,Myosin heavy chain 2B mEGFP,10/17/16,29,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box H",D,AICS024 cl27,AICS024 cl27,AICS024 cl27,AICS024 cl27,AICS024 cl27,AICS024 cl27,AICS024 cl27,AICS024 cl27,AICS024 cl27,AICS013 CL 261,Myosin heavy chain 2B mEGFP,10/17/16,30,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box H",E,AICS024 cl80,AICS024 cl80,AICS024 cl80,AICS024 cl80,AICS024 cl80,AICS024 cl80,AICS024 cl80,removed 1/3 CCH,removed 12/2 CCH,AICS013 CL 261,Myosin heavy chain 2B mEGFP,10/17/16,29,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box H",F,AICS024 cl70,AICS024 cl70,AICS024 cl70,AICS024 cl70,AICS024 cl70,AICS024 cl70,AICS024 cl70,AICS024 cl70,AICS024 cl70,AICS013 CL 261,Myosin heavy chain 2B mEGFP,10/17/16,29,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box H",G,AICS031 cr1,AICS031 cr1,AICS031 cr1,AICS031 cr1,AICS031 cr1,AICS031 cr1,AICS031 cr1,AICS031 cr1,,AICS013 CL 261,alpha tubulin mTagRFP-T,10/10/16,15,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box H",H,AICS032 cr1,AICS032 cr1,AICS032 cr1,AICS032 cr1,AICS032 cr1,AICS032 cr1,removed,removed 1/3 CCH,removed 12/2 CCH,AICS013 CL 261,Centrin2 mTagRFP-T,10/25/16,14,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box H",I,AICS020 CL 1,AICS020 CL 1,AICS020 CL 1,AICS020 CL 1,AICS020 CL 1,AICS020 CL 1,AICS020 CL 1,AICS020 CL 1,AICS020 CL 1,AICS013 CL 261,VIM mEGFP,11/4/16,28,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box H",J,,AICS020 CL 94,AICS020 CL 94,AICS020 CL 94,AICS020 CL 94,AICS020 CL 94,AICS020 CL 94,AICS020 CL 94,AICS020 CL 94,AICS020 CL 94,VIM mEGFP,11/4/16,28,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box I",A,removed 5/9 SL,removed 5/12 SL,removed 5/16 SL,removed 1/2/2018 cch,AICS030  clone 20,AICS030  clone 20,AICS030  clone 20,AICS030  clone 20,AICS030  clone 20,,LC3 mEGFP,11/11/16,21,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box I",B,removed 5/9 SL,removed 5/12 SL,AICS030  clone 21,AICS030  clone 21,AICS030  clone 21,AICS030  clone 21,AICS030  clone 21,AICS030  clone 21,AICS030  clone 21,,LC3 mEGFP,11/11/16,21,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box I",C,removed 5/9 SL,removed 5/12 SL,removed 10/23/17 SL,removed 1/5/2018 cch,AICS030  clone 22,AICS030  clone 22,AICS030  clone 22,AICS030  clone 22,AICS030  clone 22,,LC3 mEGFP,11/11/16,21,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box I",D,removed 1/3 CCH,removed 3/17 SL,removed 5/9 SL,removed 5/12 SL,AICS030  clone 23,AICS030  clone 23,AICS030  clone 23,AICS030  clone 23,AICS030  clone 23,,LC3 mEGFP,11/11/16,21,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box I",E,AICS023 cr2,AICS023 cr2,AICS023 cr2,AICS023 cr2,AICS023 cr2,AICS023 cr2,AICS023 cr2,AICS023 cr2,AICS023 cr2,,ZO1 mEGFP,11/10/16,18,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box I",F,AICS025 cr2 dim/mix,AICS025 cr2 dim/mix,AICS025 cr2 dim/mix,AICS025 cr2 dim/mix,AICS025 cr2 dim/mix,AICS025 cr2 dim/mix,AICS025 cr2 dim/mix,AICS025 cr2 dim/mix,,,sialyltransferase mEGFP,11/10/16,23,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box I",G,AICS025 cr2 bright,AICS025 cr2 bright,AICS025 cr2 bright,AICS025 cr2 bright,AICS025 cr2 bright,AICS025 cr2 bright,AICS025 cr2 bright,AICS025 cr2 bright,,,sialyltransferase mEGFP,11/10/16,23,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box I",H,AICS023 clone 92,AICS023 clone 92,AICS023 clone 92,AICS023 clone 92,AICS023 clone 92,AICS023 clone 92,AICS023 clone 92,AICS023 clone 92,AICS023 clone 92,,ZO1 mEGFP,11/17/16,26,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box I",I,,AICS023 clone 84,AICS023 clone 84,AICS023 clone 84,AICS023 clone 84,AICS023 clone 84,AICS023 clone 84,AICS023 clone 84,AICS023 clone 84,,ZO1 mEGFP,11/17/16,26,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box J",A,AICS023 clone 46,AICS023 clone 46,AICS023 clone 46,AICS023 clone 46,AICS023 clone 46,AICS023 clone 46,AICS023 clone 46,AICS023 clone 46,AICS023 clone 46,,ZO1 mEGFP,11/17/16,26,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box J",B,removed 1/3 CCH,removed 7/14 SL,removed 8/18/17 SL,AICS023 clone 20,AICS023 clone 20,AICS023 clone 20,AICS023 clone 20,AICS023 clone 20,,,ZO1 mEGFP,11/17/16,26,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box J",C,AICS036 clone 6,AICS036 clone 6,AICS036 clone 6,AICS036 clone 6,AICS036 clone 6,AICS036 clone 6,AICS036 clone 6,AICS036 clone 6,,,AAVS1 safe harbor cytosolic GFP with CAG promoter,11/15/16,27,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box J",D,AICS036 clone 26,AICS036 clone 26,AICS036 clone 26,AICS036 clone 26,AICS036 clone 26,,,,,,AAVS1 safe harbor cytosolic GFP with CAG promoter,11/21/16,27,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box J",E,AICS036 clone 28,AICS036 clone 28,AICS036 clone 28,AICS036 clone 28,AICS036 clone 28,,,,,,AAVS1 safe harbor cytosolic GFP with CAG promoter,11/21/16,27,1x10^6,,,,,
